{x=530,m=634,a=3725,s=1229}
{x=1307,m=43,a=464,s=2708}
{x=918,m=57,a=1846,s=794}
{x=2072,m=1258,a=340,s=232}
{x=39,m=1043,a=3007,s=315}
{x=1945,m=979,a=1098,s=2262}
{x=1607,m=1209,a=650,s=258}
{x=3098,m=1600,a=204,s=1876}
{x=2232,m=252,a=2734,s=66}
{x=680,m=68,a=3699,s=1029}
{x=547,m=33,a=472,s=218}
{x=1546,m=910,a=96,s=666}
{x=484,m=391,a=57,s=2654}
{x=906,m=93,a=296,s=2372}
{x=1407,m=420,a=2307,s=591}
{x=1668,m=511,a=308,s=147}
{x=1290,m=991,a=92,s=495}
{x=1876,m=141,a=909,s=706}
{x=999,m=1579,a=1131,s=597}
{x=86,m=1845,a=245,s=1534}
{x=309,m=2511,a=2002,s=73}
{x=2879,m=1283,a=395,s=207}
{x=20,m=1116,a=393,s=100}
{x=173,m=143,a=451,s=121}
{x=1852,m=2969,a=42,s=873}
{x=5,m=205,a=328,s=322}
{x=1020,m=1302,a=1466,s=3630}
{x=850,m=1855,a=912,s=249}
{x=298,m=2764,a=868,s=1005}
{x=1971,m=965,a=3494,s=256}
{x=329,m=7,a=209,s=180}
{x=1924,m=1103,a=600,s=72}
{x=980,m=15,a=36,s=7}
{x=2967,m=507,a=175,s=2028}
{x=99,m=746,a=747,s=82}
{x=809,m=1418,a=542,s=10}
{x=51,m=967,a=207,s=39}
{x=12,m=771,a=401,s=7}
{x=52,m=871,a=797,s=2231}
{x=295,m=23,a=1660,s=178}
{x=2666,m=419,a=274,s=1981}
{x=51,m=1958,a=1571,s=964}
{x=2064,m=728,a=880,s=610}
{x=872,m=908,a=98,s=72}
{x=2460,m=44,a=668,s=570}
{x=432,m=1450,a=155,s=539}
{x=328,m=2010,a=335,s=3590}
{x=2877,m=55,a=8,s=981}
{x=961,m=350,a=347,s=158}
{x=1858,m=1047,a=147,s=887}
{x=1147,m=11,a=285,s=755}
{x=745,m=1515,a=2602,s=29}
{x=132,m=803,a=1309,s=315}
{x=1230,m=348,a=326,s=194}
{x=108,m=88,a=718,s=1950}
{x=665,m=3229,a=219,s=15}
{x=147,m=1011,a=920,s=2186}
{x=2562,m=47,a=120,s=1516}
{x=1755,m=726,a=309,s=10}
{x=2588,m=250,a=2080,s=1115}
